date,symbol,action,shares,price,cost,reason,technical_reason,cash_after,total_position,avg_price,buy_price,sell_price,cost_basis,proceeds,pnl,pnl_pct,cumulative_pnl,running_total_pnl
2025-06-11 00:00:00-04:00,TSLA,BUY,15,326.42999267578125,4901.346340026855,Strong upward momentum detected. Algorithm confidence: 37%. Good entry point for potential gains.,BUY: Momentum entry Q=0.372 >= 0.35,95098.65365997315,15.0,326.42999267578125,,,,,,,,0.0
2025-06-11 00:00:00-04:00,NVDA,BUY,35,142.8300018310547,5004.049114151,Strong upward momentum detected. Algorithm confidence: 35%. Good entry point for potential gains.,BUY: Momentum entry Q=0.354 >= 0.35,90094.60454582215,35.0,142.8300018310547,,,,,,,,0.0
2025-06-11 00:00:00-04:00,GOOGL,BUY,28,177.1915283203125,4966.324155761718,Strong upward momentum detected. Algorithm confidence: 36%. Good entry point for potential gains.,BUY: Momentum entry Q=0.357 >= 0.35,85128.28039006043,28.0,177.1915283203125,,,,,,,,0.0
2025-06-11 00:00:00-04:00,META,BUY,7,693.6063232421875,4860.099506958008,Strong upward momentum detected. Algorithm confidence: 38%. Good entry point for potential gains.,BUY: Momentum entry Q=0.383 >= 0.35,80268.18088310242,7.0,693.6063232421875,,,,,,,,0.0
2025-06-12 00:00:00-04:00,TSLA,SELL,15,,,"Stop loss triggered to limit losses. Protecting capital ($-114.59, -2.3%).",SELL: Stop loss 2.2% >= 2.0%,85050.04401359559,,,326.42999267578125,319.1099853515625,4896.449890136719,4781.863130493164,-114.58675964355461,-2.3402008029199934,-114.58675964355461,-114.58675964355461
2025-06-12 00:00:00-04:00,NVDA,SELL,35,,,"AI model detects potential price peak. Taking profits ($70.87, 1.4%).","SELL: ML profit peak ML=0.393, P&L=$75.95",90119.96901359559,,,142.8300018310547,145.0,4999.050064086914,5069.925,70.87493591308612,1.4177680760240907,70.87493591308612,-43.711823730468495
2025-06-12 00:00:00-04:00,GOOGL,SELL,28,,,"Algorithm confidence dropped. Exiting position to preserve capital ($-51.07, -1.0%).",SELL: Conviction lost Q=0.256 <= 0.3,95030.25778910829,,,177.1915283203125,175.54299926757812,4961.36279296875,4910.288775512695,-51.07401745605512,-1.0294352496946462,-51.07401745605512,-94.78584118652361
2025-06-12 00:00:00-04:00,SPY,BUY,8,601.9703979492188,4820.578946777343,Strong upward momentum detected. Algorithm confidence: 55%. Good entry point for potential gains.,BUY: Momentum entry Q=0.551 >= 0.35,90209.67884233095,8.0,601.9703979492188,,,,,,,,-94.78584118652361
2025-06-12 00:00:00-04:00,META,SELL,7,,,"Algorithm confidence dropped. Exiting position to preserve capital ($-10.31, -0.2%).",SELL: Conviction lost Q=0.279 <= 0.3,95054.617384079,,,693.6063232421875,692.826904296875,4855.2442626953125,4844.938541748047,-10.3057209472654,-0.21225957726675404,-10.3057209472654,-105.09156213378901
2025-06-13 00:00:00-04:00,NVDA,BUY,35,141.97000122070312,4973.918992767333,Strong upward momentum detected. Algorithm confidence: 57%. Good entry point for potential gains.,BUY: Momentum entry Q=0.567 >= 0.35,90080.69839131167,35.0,141.97000122070312,,,,,,,,-105.09156213378901
2025-06-13 00:00:00-04:00,SPY,SELL,8,,,"Algorithm confidence dropped. Exiting position to preserve capital ($-58.60, -1.2%).",SELL: Conviction lost Q=0.216 <= 0.3,94837.85883222964,,,601.9703979492188,595.2402954101562,4815.76318359375,4757.160440917969,-58.60274267578097,-1.2168941960316422,-58.60274267578097,-163.69430480956999
2025-06-13 00:00:00-04:00,META,BUY,7,682.344970703125,4781.191209716796,Strong upward momentum detected. Algorithm confidence: 41%. Good entry point for potential gains.,BUY: Momentum entry Q=0.406 >= 0.35,90056.66762251285,7.0,682.344970703125,,,,,,,,-163.69430480956999
2025-06-16 00:00:00-04:00,TSLA,BUY,15,329.1300048828125,4941.887023315429,Strong upward momentum detected. Algorithm confidence: 46%. Good entry point for potential gains.,BUY: Momentum entry Q=0.462 >= 0.35,85114.78059919742,15.0,329.1300048828125,,,,,,,,-163.69430480956999
2025-06-16 00:00:00-04:00,NVDA,SELL,35,,,"End of trading session - closing all positions ($90.14, 1.8%).",FORCED EXIT: Held for 72.0 hours (max: 48),90173.86653456118,,,141.97000122070312,144.69000244140625,4968.950042724609,5059.08593536377,90.13589263916037,1.813982669661465,161.0108285522465,-73.55841217040961
2025-06-16 00:00:00-04:00,GOOGL,BUY,28,176.61204528808594,4950.082405334472,Strong upward momentum detected. Algorithm confidence: 39%. Good entry point for potential gains.,BUY: Momentum entry Q=0.391 >= 0.35,85223.78412922671,28.0,176.61204528808594,,,,,,,,-73.55841217040961
2025-06-16 00:00:00-04:00,SPY,BUY,8,600.903564453125,4812.035744140624,Strong upward momentum detected. Algorithm confidence: 45%. Good entry point for potential gains.,BUY: Momentum entry Q=0.447 >= 0.35,80411.74838508609,8.0,600.903564453125,,,,,,,,-73.55841217040961
2025-06-16 00:00:00-04:00,META,SELL,7,,,"End of trading session - closing all positions ($133.51, 2.8%).",FORCED EXIT: Held for 72.0 hours (max: 48),85321.67351094059,,,682.344970703125,702.1199951171875,4776.414794921875,4909.925125854492,133.51033093261685,2.795199677267573,123.20460998535145,59.95191876220724
2025-06-17 00:00:00-04:00,TSLA,SELL,15,,,"Stop loss triggered to limit losses. Protecting capital ($-196.45, -4.0%).",SELL: Stop loss 3.9% >= 2.0%,90062.17835240177,,,329.1300048828125,316.3500061035156,4936.9500732421875,4740.504841461182,-196.44523178100553,-3.9790807860448196,-311.03199142456015,-136.4933130187983
2025-06-17 00:00:00-04:00,NVDA,BUY,34,144.1199951171875,4904.979913818359,Strong upward momentum detected. Algorithm confidence: 66%. Good entry point for potential gains.,BUY: Momentum entry Q=0.660 >= 0.35,85157.19843858341,34.0,144.1199951171875,,,,,,,,-136.4933130187983
2025-06-17 00:00:00-04:00,GOOGL,SELL,28,,,"Algorithm confidence dropped. Exiting position to preserve capital ($-27.86, -0.6%).",SELL: Conviction lost Q=0.167 <= 0.3,90074.47381181338,,,176.61204528808594,175.7927703857422,4945.137268066406,4917.275373229981,-27.861894836425563,-0.5634200493552693,-78.93591229248068,-164.35520785522385
2025-06-17 00:00:00-04:00,SPY,SELL,8,,,"Algorithm confidence dropped. Exiting position to preserve capital ($-45.84, -1.0%).",SELL: Conviction lost Q=0.224 <= 0.3,94835.85805204776,,,600.903564453125,595.768798828125,4807.228515625,4761.384240234375,-45.844275390624716,-0.9536529258306827,-104.44701806640569,-210.19948324584857
2025-06-17 00:00:00-04:00,META,BUY,7,697.22998046875,4885.49047314453,Strong upward momentum detected. Algorithm confidence: 59%. Good entry point for potential gains.,BUY: Momentum entry Q=0.590 >= 0.35,89950.36757890323,7.0,697.22998046875,,,,,,,,-210.19948324584857
2025-06-18 00:00:00-04:00,NVDA,SELL,34,,,"AI model detects potential price peak. Taking profits ($41.29, 0.8%).","SELL: ML profit peak ML=0.556, P&L=$46.24",94891.74111378482,,,144.1199951171875,145.47999572753906,4900.079833984375,4941.373534881592,41.293700897216695,0.842714859680965,202.3045294494632,-168.90578234863187
2025-06-18 00:00:00-04:00,GOOGL,BUY,28,173.16513061523438,4853.472280883789,Strong upward momentum detected. Algorithm confidence: 41%. Good entry point for potential gains.,BUY: Momentum entry Q=0.406 >= 0.35,90038.26883290104,28.0,173.16513061523438,,,,,,,,-168.90578234863187
2025-06-20 00:00:00-04:00,TSLA,BUY,15,322.1600036621094,4837.232454986572,Strong upward momentum detected. Algorithm confidence: 40%. Good entry point for potential gains.,BUY: Momentum entry Q=0.403 >= 0.35,85201.03637791447,15.0,322.1600036621094,,,,,,,,-168.90578234863187
2025-06-20 00:00:00-04:00,NVDA,BUY,34,143.85000610351562,4895.79110772705,Strong upward momentum detected. Algorithm confidence: 61%. Good entry point for potential gains.,BUY: Momentum entry Q=0.609 >= 0.35,80305.24527018741,34.0,143.85000610351562,,,,,,,,-168.90578234863187
