date,symbol,action,shares,price,value,profit
2024-01-30 00:00:00-05:00,MSFT,BUY,2,403.3409729003906,806.6819458007812,
2024-01-30 00:00:00-05:00,GOOGL,BUY,6,150.55706787109375,903.3424072265625,
2024-01-30 00:00:00-05:00,TSLA,BUY,5,191.58999633789062,957.9499816894531,
2024-01-31 00:00:00-05:00,MSFT,SELL,2,392.4724426269531,784.9448852539062,-21.737060546875
2024-01-31 00:00:00-05:00,GOOGL,SELL,6,139.26480102539062,835.5888061523438,-67.75360107421875
2024-01-31 00:00:00-05:00,TSLA,SELL,5,187.2899932861328,936.4499664306641,-21.500015258789062
2024-02-01 00:00:00-05:00,MSFT,BUY,2,398.5927429199219,797.1854858398438,
2024-02-01 00:00:00-05:00,TSLA,BUY,5,188.86000061035156,944.3000030517578,
2024-02-02 00:00:00-05:00,MSFT,SELL,2,405.93719482421875,811.8743896484375,14.68890380859375
2024-02-02 00:00:00-05:00,TSLA,SELL,5,187.91000366210938,939.5500183105469,-4.7499847412109375
2024-02-05 00:00:00-05:00,TSLA,BUY,5,181.05999755859375,905.2999877929688,
2024-02-05 00:00:00-05:00,NVDA,BUY,14,69.3011703491211,970.2163848876953,
2024-02-06 00:00:00-05:00,TSLA,SELL,5,185.10000610351562,925.5000305175781,20.200042724609375
2024-02-06 00:00:00-05:00,NVDA,SELL,14,68.19265747070312,954.6972045898438,-15.519180297851562
2024-02-07 00:00:00-05:00,TSLA,BUY,5,187.5800018310547,937.9000091552734,
2024-02-08 00:00:00-05:00,TSLA,SELL,5,189.55999755859375,947.7999877929688,9.899978637695312
2024-02-12 00:00:00-05:00,AAPL,BUY,5,185.8156280517578,929.0781402587891,
2024-02-12 00:00:00-05:00,TSLA,BUY,5,188.1300048828125,940.6500244140625,
2024-02-12 00:00:00-05:00,NVDA,BUY,13,72.21586608886719,938.8062591552734,
2024-02-13 00:00:00-05:00,AAPL,SELL,5,183.72068786621094,918.6034393310547,-10.474700927734375
2024-02-13 00:00:00-05:00,TSLA,SELL,5,184.02000427246094,920.1000213623047,-20.550003051757812
2024-02-13 00:00:00-05:00,NVDA,SELL,13,72.09591674804688,937.2469177246094,-1.5593414306640625
2024-02-14 00:00:00-05:00,AAPL,BUY,5,182.83702087402344,914.1851043701172,
2024-02-15 00:00:00-05:00,AAPL,SELL,5,182.54908752441406,912.7454376220703,-1.439666748046875
2024-02-16 00:00:00-05:00,AAPL,BUY,5,181.0101318359375,905.0506591796875,
2024-02-16 00:00:00-05:00,GOOGL,BUY,7,139.6822967529297,977.7760772705078,
2024-02-20 00:00:00-05:00,AAPL,SELL,5,180.26548767089844,901.3274383544922,-3.7232208251953125
2024-02-20 00:00:00-05:00,GOOGL,SELL,7,140.27870178222656,981.9509124755859,4.174835205078125
2024-02-20 00:00:00-05:00,NVDA,BUY,14,69.42110443115234,971.8954620361328,
2024-02-21 00:00:00-05:00,NVDA,SELL,14,67.4419937133789,944.1879119873047,-27.707550048828125
2024-02-22 00:00:00-05:00,NVDA,BUY,12,78.50306701660156,942.0368041992188,
2024-02-23 00:00:00-05:00,NVDA,SELL,12,78.78193664550781,945.3832397460938,3.346435546875
2024-02-26 00:00:00-05:00,AAPL,BUY,5,179.86834716796875,899.3417358398438,
2024-02-26 00:00:00-05:00,GOOGL,BUY,7,136.7498779296875,957.2491455078125,
2024-02-27 00:00:00-05:00,GOOGL,SELL,7,138.0520477294922,966.3643341064453,9.115188598632812
2024-02-28 00:00:00-05:00,GOOGL,BUY,7,135.5669708251953,948.9687957763672,
2024-02-29 00:00:00-05:00,AAPL,SELL,5,179.4612579345703,897.3062896728516,-2.0354461669921875
2024-02-29 00:00:00-05:00,MSFT,BUY,2,409.0812072753906,818.1624145507812,
2024-02-29 00:00:00-05:00,GOOGL,SELL,7,137.6345672607422,963.4419708251953,14.473175048828125
2024-03-01 00:00:00-05:00,AAPL,BUY,5,178.37905883789062,891.8952941894531,
2024-03-01 00:00:00-05:00,MSFT,SELL,2,410.9206848144531,821.8413696289062,3.678955078125
2024-03-01 00:00:00-05:00,GOOGL,BUY,7,136.3224334716797,954.2570343017578,
2024-03-04 00:00:00-05:00,AAPL,SELL,5,173.85154724121094,869.2577362060547,-22.637557983398438
2024-03-04 00:00:00-05:00,GOOGL,SELL,7,132.55502319335938,927.8851623535156,-26.371871948242188
2024-03-05 00:00:00-05:00,AAPL,BUY,5,168.9070587158203,844.5352935791016,
2024-03-05 00:00:00-05:00,MSFT,BUY,2,398.2123107910156,796.4246215820312,
2024-03-05 00:00:00-05:00,GOOGL,BUY,7,131.8790740966797,923.1535186767578,
2024-03-05 00:00:00-05:00,TSLA,BUY,5,180.74000549316406,903.7000274658203,
2024-03-06 00:00:00-05:00,AAPL,SELL,5,167.91416931152344,839.5708465576172,-4.964447021484375
2024-03-06 00:00:00-05:00,GOOGL,SELL,7,130.6166229248047,914.3163604736328,-8.837158203125
2024-03-06 00:00:00-05:00,TSLA,SELL,5,176.5399932861328,882.6999664306641,-21.00006103515625
2024-03-07 00:00:00-05:00,AAPL,BUY,5,167.79505920410156,838.9752960205078,
2024-03-07 00:00:00-05:00,TSLA,BUY,5,178.64999389648438,893.2499694824219,
2024-03-08 00:00:00-05:00,AAPL,SELL,5,169.51272583007812,847.5636291503906,8.588333129882812
2024-03-08 00:00:00-05:00,TSLA,SELL,5,175.33999633789062,876.6999816894531,-16.54998779296875
2024-03-08 00:00:00-05:00,NVDA,BUY,11,87.49317932128906,962.4249725341797,
2024-03-11 00:00:00-04:00,AAPL,BUY,5,171.518310546875,857.591552734375,
