date,symbol,action,shares,price,value,profit,pnl_pct
2024-02-26 00:00:00-05:00,SPY,BUY,4,496.615234375,1986.4609375,,
2024-02-27 00:00:00-05:00,NVDA,BUY,25,78.66598510742188,1966.6496276855469,,
2024-02-28 00:00:00-05:00,TSLA,BUY,9,202.0399932861328,1818.3599395751953,,
2024-03-01 00:00:00-05:00,NVDA,SELL,25,82.24239349365234,2056.0598373413086,89.41020965576172,4.546321235724342
2024-03-04 00:00:00-05:00,MSFT,BUY,4,410.3470764160156,1641.3883056640625,,
2024-03-04 00:00:00-05:00,TSLA,SELL,9,188.13999938964844,1693.259994506836,-125.09994506835938,-6.879822984748839
2024-03-05 00:00:00-05:00,MSFT,SELL,4,398.2123107910156,1592.8492431640625,-48.5390625,-2.9571955845245514
2024-03-05 00:00:00-05:00,NVDA,BUY,23,85.92980194091797,1976.3854446411133,,
2024-03-06 00:00:00-05:00,NVDA,SELL,23,88.66470336914062,2039.2881774902344,62.902732849121094,3.182715852298914
2024-03-07 00:00:00-05:00,NVDA,BUY,21,92.63211822509766,1945.2744827270508,,
2024-03-07 00:00:00-05:00,TSLA,BUY,11,178.64999389648438,1965.1499328613281,,
2024-03-07 00:00:00-05:00,SPY,SELL,4,505.2718200683594,2021.0872802734375,34.6263427734375,1.7431172252002816
2024-03-08 00:00:00-05:00,AAPL,BUY,11,169.5126953125,1864.6396484375,,
2024-03-08 00:00:00-05:00,NVDA,SELL,21,87.49317169189453,1837.3566055297852,-107.91787719726562,-5.547694073793493
2024-03-11 00:00:00-04:00,AAPL,SELL,11,171.518310546875,1886.701416015625,22.061767578125,1.1831652081737056
2024-03-11 00:00:00-04:00,TSLA,SELL,11,177.77000427246094,1955.4700469970703,-9.679885864257812,-0.4925774722015004
2024-03-13 00:00:00-04:00,AAPL,BUY,11,169.9098663330078,1869.008529663086,,
2024-03-14 00:00:00-04:00,AAPL,SELL,11,171.7665252685547,1889.4317779541016,20.423248291015625,1.092731679223379
2024-03-18 00:00:00-04:00,TSLA,BUY,11,173.8000030517578,1911.800033569336,,
2024-03-19 00:00:00-04:00,AAPL,BUY,11,174.82455444335938,1923.0700988769531,,
2024-03-19 00:00:00-04:00,TSLA,SELL,11,171.32000732421875,1884.5200805664062,-27.279953002929688,-1.4269250195585539
2024-03-20 00:00:00-04:00,AAPL,SELL,11,177.39608764648438,1951.3569641113281,28.286865234375,1.4709222118785032
2024-03-20 00:00:00-04:00,TSLA,BUY,11,175.66000366210938,1932.2600402832031,,
2024-03-21 00:00:00-04:00,AAPL,BUY,11,170.14813232421875,1871.6294555664062,,
2024-03-21 00:00:00-04:00,MSFT,BUY,4,424.6378173828125,1698.55126953125,,
2024-03-21 00:00:00-04:00,NVDA,BUY,21,91.39861297607422,1919.3708724975586,,
2024-03-21 00:00:00-04:00,TSLA,SELL,11,172.82000732421875,1901.0200805664062,-31.239959716796875,-1.6167575308454945
2024-03-21 00:00:00-04:00,SPY,BUY,3,514.1173095703125,1542.3519287109375,,
2024-03-22 00:00:00-04:00,AAPL,SELL,11,171.05165100097656,1881.5681610107422,9.938705444335938,0.5310188624557746
2024-03-22 00:00:00-04:00,NVDA,SELL,21,94.25148010253906,1979.2810821533203,59.91020965576172,3.1213461928701807
2024-03-25 00:00:00-04:00,NVDA,BUY,21,94.96418762207031,1994.2479400634766,,
2024-03-26 00:00:00-04:00,NVDA,SELL,21,92.524169921875,1943.007568359375,-51.24037170410156,-2.5694082804202667
2024-03-28 00:00:00-04:00,MSFT,SELL,4,416.0831604003906,1664.3326416015625,-34.2186279296875,-2.014577277913479
2024-03-28 00:00:00-04:00,TSLA,BUY,11,175.7899932861328,1933.689926147461,,
2024-03-28 00:00:00-04:00,SPY,SELL,3,514.973876953125,1544.921630859375,2.5697021484375,0.16660932570591708
2024-04-01 00:00:00-04:00,TSLA,SELL,11,175.22000122070312,1927.4200134277344,-6.2699127197265625,-0.324246024915601
2024-04-10 00:00:00-04:00,SPY,BUY,3,506.16241455078125,1518.4872436523438,,
2024-04-16 00:00:00-04:00,NVDA,BUY,22,87.38021850585938,1922.3648071289062,,
2024-04-16 00:00:00-04:00,SPY,SELL,3,495.736328125,1487.208984375,-31.27825927734375,-2.0598302295982194
2024-04-17 00:00:00-04:00,NVDA,SELL,22,84.00155639648438,1848.0342407226562,-74.33056640625,-3.8666212641118998
2024-04-22 00:00:00-04:00,NVDA,BUY,25,79.48635864257812,1987.1589660644531,,
2024-04-23 00:00:00-04:00,MSFT,BUY,4,403.0780944824219,1612.3123779296875,,
2024-04-23 00:00:00-04:00,NVDA,SELL,25,82.39019775390625,2059.7549438476562,72.59597778320312,3.653254672774301
2024-04-23 00:00:00-04:00,TSLA,BUY,13,144.67999267578125,1880.8399047851562,,
2024-04-23 00:00:00-04:00,SPY,BUY,4,497.823486328125,1991.2939453125,,
2024-04-24 00:00:00-04:00,MSFT,SELL,4,404.5516662597656,1618.2066650390625,5.894287109375,0.365579722022828
2024-04-24 00:00:00-04:00,TSLA,SELL,13,162.1300048828125,2107.6900634765625,226.85015869140625,12.061109407252756
2024-04-24 00:00:00-04:00,SPY,SELL,4,497.5871887207031,1990.3487548828125,-0.9451904296875,-0.04746614290233119
2024-04-25 00:00:00-04:00,AAPL,BUY,11,168.6787109375,1855.4658203125,,
2024-04-25 00:00:00-04:00,MSFT,BUY,5,394.64208984375,1973.21044921875,,
2024-04-26 00:00:00-04:00,AAPL,SELL,11,168.0928955078125,1849.0218505859375,-6.4439697265625,-0.34729660099463316
2024-04-26 00:00:00-04:00,MSFT,SELL,5,401.84185791015625,2009.2092895507812,35.99884033203125,1.8243791657541757
2024-04-26 00:00:00-04:00,TSLA,BUY,11,168.2899932861328,1851.189926147461,,
2024-04-29 00:00:00-04:00,TSLA,SELL,11,194.0500030517578,2134.550033569336,283.360107421875,15.30691710339954
2024-04-30 00:00:00-04:00,NVDA,BUY,23,86.36763000488281,1986.4554901123047,,
2024-05-01 00:00:00-04:00,MSFT,BUY,5,390.5872497558594,1952.9362487792969,,
2024-05-01 00:00:00-04:00,NVDA,SELL,23,83.00794982910156,1909.182846069336,-77.27264404296875,-3.8899761121050904
2024-05-02 00:00:00-04:00,MSFT,SELL,5,393.4552917480469,1967.2764587402344,14.3402099609375,0.7342897122167197
2024-05-03 00:00:00-04:00,AAPL,BUY,10,182.07249450683594,1820.7249450683594,,
2024-05-03 00:00:00-04:00,TSLA,BUY,11,181.19000244140625,1993.0900268554688,,
2024-05-06 00:00:00-04:00,MSFT,BUY,4,408.9823303222656,1635.9293212890625,,
2024-05-07 00:00:00-04:00,AAPL,SELL,10,181.09947204589844,1810.9947204589844,-9.730224609375,-0.53441485688052
2024-05-07 00:00:00-04:00,MSFT,SELL,4,404.8285827636719,1619.3143310546875,-16.614990234375,-1.0156300775441138
2024-05-07 00:00:00-04:00,NVDA,BUY,22,90.51795959472656,1991.3951110839844,,
2024-05-07 00:00:00-04:00,SPY,BUY,3,509.13568115234375,1527.4070434570312,,
2024-05-08 00:00:00-04:00,TSLA,SELL,11,174.72000122070312,1921.9200134277344,-71.17001342773438,-3.5708378682733413
2024-05-08 00:00:00-04:00,SPY,SELL,3,509.1849365234375,1527.5548095703125,0.14776611328125,0.009674311370648524
2024-05-09 00:00:00-04:00,SPY,BUY,3,512.1187133789062,1536.3561401367188,,
2024-05-10 00:00:00-04:00,AAPL,BUY,10,181.9913787841797,1819.9137878417969,,
2024-05-10 00:00:00-04:00,SPY,SELL,3,512.7784423828125,1538.3353271484375,1.97918701171875,0.12882345180347468
2024-05-13 00:00:00-04:00,AAPL,SELL,10,185.2026824951172,1852.0268249511719,32.113037109375,1.7645361733017735
2024-05-13 00:00:00-04:00,MSFT,BUY,4,409.1602783203125,1636.64111328125,,
2024-05-13 00:00:00-04:00,SPY,BUY,3,512.8472900390625,1538.5418701171875,,
2024-05-14 00:00:00-04:00,MSFT,SELL,4,411.9690246582031,1647.8760986328125,11.2349853515625,0.6864660346358911
2024-05-14 00:00:00-04:00,NVDA,SELL,22,91.31964874267578,2009.0322723388672,17.637161254882812,0.8856686027155256
2024-05-14 00:00:00-04:00,SPY,SELL,3,515.2002563476562,1545.6007690429688,7.05889892578125,0.45880447343585057
2024-05-15 00:00:00-04:00,MSFT,BUY,4,419.171875,1676.6875,,
2024-05-15 00:00:00-04:00,NVDA,BUY,21,94.59233856201172,1986.439109802246,,
2024-05-15 00:00:00-04:00,SPY,BUY,3,521.5800170898438,1564.7400512695312,,
2024-05-16 00:00:00-04:00,AAPL,BUY,10,188.74209594726562,1887.4209594726562,,
2024-05-16 00:00:00-04:00,SPY,SELL,3,520.5068969726562,1561.5206909179688,-3.2193603515625,-0.20574410100581975
2024-05-17 00:00:00-04:00,AAPL,SELL,10,188.7719268798828,1887.7192687988281,0.298309326171875,0.01580512946381725
2024-05-17 00:00:00-04:00,NVDA,SELL,21,92.44219207763672,1941.286033630371,-45.153076171875,-2.273066209231557
2024-05-17 00:00:00-04:00,TSLA,BUY,11,177.4600067138672,1952.060073852539,,
2024-05-20 00:00:00-04:00,AAPL,BUY,10,189.93515014648438,1899.3515014648438,,
2024-05-20 00:00:00-04:00,MSFT,SELL,4,421.4110107421875,1685.64404296875,8.95654296875,0.5341808159689865
2024-05-21 00:00:00-04:00,AAPL,SELL,10,191.23757934570312,1912.3757934570312,13.0242919921875,0.6857230998128955
2024-05-21 00:00:00-04:00,TSLA,SELL,11,186.60000610351562,2052.600067138672,100.53999328613281,5.15045590209268
2024-05-22 00:00:00-04:00,AAPL,BUY,10,189.7959747314453,1897.9597473144531,,
2024-05-22 00:00:00-04:00,SPY,BUY,3,521.6292724609375,1564.8878173828125,,
2024-05-23 00:00:00-04:00,AAPL,SELL,10,185.7992401123047,1857.9924011230469,-39.96734619140625,-2.1058057868697504
2024-05-23 00:00:00-04:00,MSFT,BUY,4,423.0556640625,1692.22265625,,
2024-05-23 00:00:00-04:00,SPY,SELL,3,517.8191528320312,1553.4574584960938,-11.43035888671875,-0.7304267283411655
