date,cash,portfolio_value,positions
2025-06-11 00:00:00-04:00,80268.18088310242,119712.1070098877,4
2025-06-12 00:00:00-04:00,95054.617384079,85083.94406669617,1
2025-06-13 00:00:00-04:00,90056.66762251285,104799.98222172548,2
2025-06-16 00:00:00-04:00,85321.67351094059,104745.98347944644,3
2025-06-17 00:00:00-04:00,89950.36757890323,95102.36320820621,2
2025-06-18 00:00:00-04:00,90038.26883290104,99669.38137284854,2
2025-06-20 00:00:00-04:00,84975.01291264348,104515.80932972721,3
2025-06-23 00:00:00-04:00,90042.43690138248,94815.99478520207,2
2025-06-24 00:00:00-04:00,85500.46099519351,104543.9569514313,3
2025-06-25 00:00:00-04:00,90104.85285803226,95406.51789521793,2
2025-06-26 00:00:00-04:00,85448.49250195317,104847.15293737796,3
2025-06-27 00:00:00-04:00,76042.94321160893,109666.37549755863,5
2025-06-30 00:00:00-04:00,100140.77215792853,76042.94321160893,0
2025-07-01 00:00:00-04:00,76224.27946017461,124033.37225558478,5
2025-07-02 00:00:00-04:00,96247.68614431766,80505.69950411993,1
2025-07-03 00:00:00-04:00,81648.39349581914,115137.83464285282,4
2025-07-07 00:00:00-04:00,95743.91984758002,85958.49334933476,1
2025-07-08 00:00:00-04:00,90216.0606005097,105581.63725480658,2
2025-07-09 00:00:00-04:00,86058.92791319282,104339.3008348847,3
2025-07-10 00:00:00-04:00,86111.63566532906,100314.2836871186,3
2025-07-11 00:00:00-04:00,90689.51224726875,95803.24577275093,2
2025-07-14 00:00:00-04:00,91174.87241899116,99937.13236445625,2
2025-07-15 00:00:00-04:00,86331.20162977607,105386.81260453803,3
2025-07-16 00:00:00-04:00,90759.37255645759,96236.70707716377,2
2025-07-17 00:00:00-04:00,86607.23708676157,104856.67226959235,3
2025-07-18 00:00:00-04:00,86470.03552337656,100992.34212826547,3
2025-07-21 00:00:00-04:00,91027.00199995433,96388.17517181406,2
2025-07-22 00:00:00-04:00,81773.16942219554,110176.95640669261,4
2025-07-23 00:00:00-04:00,91152.54414665232,91703.1297188264,2
2025-07-24 00:00:00-04:00,87106.37325733957,104747.00410758982,3
2025-07-25 00:00:00-04:00,86839.10508914193,100948.53742665109,3
2025-07-28 00:00:00-04:00,91407.94546879586,96246.68510623177,2
2025-07-29 00:00:00-04:00,86122.60053379831,106040.22549809274,3
2025-07-30 00:00:00-04:00,86639.31490896616,100258.28045018014,3
2025-07-31 00:00:00-04:00,86416.53949426279,100684.87490652475,3
2025-08-01 00:00:00-04:00,95201.18417419444,91329.52545617685,1
2025-08-04 00:00:00-04:00,86312.2797972108,109137.59402526866,3
2025-08-05 00:00:00-04:00,76500.55665711986,109903.77079452525,5
2025-08-06 00:00:00-04:00,100398.80375360118,76500.55665711986,0
2025-08-07 00:00:00-04:00,76755.00374894727,124018.98357843028,5
2025-08-08 00:00:00-04:00,96104.54475114454,81370.80367570509,1
2025-08-11 00:00:00-04:00,81743.06720433057,115037.7138795625,4
2025-08-12 00:00:00-04:00,96070.94463215648,86483.06720433057,1
2025-08-13 00:00:00-04:00,77040.7443867036,119762.61379109202,5
2025-08-14 00:00:00-04:00,96009.93408053601,81738.86419871532,1
2025-08-15 00:00:00-04:00,81637.33262342848,114986.77082675183,4
2025-08-18 00:00:00-04:00,95822.72470770277,86329.572674698,1
2025-08-19 00:00:00-04:00,77065.15860992446,119171.8919440309,5
2025-08-20 00:00:00-04:00,81595.22392456069,95708.85355621352,4
2025-08-21 00:00:00-04:00,95342.80560168471,86396.87370483413,1
2025-08-22 00:00:00-04:00,81447.51411071792,114314.17571887221,4
2025-08-25 00:00:00-04:00,95622.26891644302,86299.91419616714,1
2025-08-26 00:00:00-04:00,81606.38303562942,114537.69617779556,4
2025-08-27 00:00:00-04:00,86199.06717253127,95888.26331517044,3
2025-08-28 00:00:00-04:00,86145.72980976882,100448.59749174514,3
2025-08-29 00:00:00-04:00,86384.34796127334,99970.31959248366,3
2025-09-02 00:00:00-04:00,90238.16029380812,96181.45414718642,2
2025-09-03 00:00:00-04:00,86649.30169560257,104114.620010605,3
2025-09-04 00:00:00-04:00,91026.19381793228,96262.6625507051,2
2025-09-05 00:00:00-04:00,86955.85250706496,104915.15394671645,3
2025-09-08 00:00:00-04:00,91104.31166934219,96720.29228062453,2
