date,symbol,action,shares,price,cost,reason,cash_after
2025-05-28 00:00:00-04:00,NVDA,BUY,37,134.80064392089844,4992.611448898315,"BUY: Strong ML signal ML=0.707, Q=0.372",45007.388551101685
2025-05-29 00:00:00-04:00,MSFT,BUY,10,457.9272155761719,4583.85142791748,BUY: Momentum entry Q=0.683 >= 0.65,40423.53712318421
2025-05-29 00:00:00-04:00,TSLA,BUY,13,358.42999267578125,4664.249494689941,BUY: Momentum entry Q=0.653 >= 0.65,35759.28762849427
2025-05-29 00:00:00-04:00,NVDA,BUY,35,139.1803436279297,4876.183339004516,"BUY: MACD momentum MACD=0.349, Q=0.458",30883.104289489755
2025-05-30 00:00:00-04:00,MSFT,BUY,10,459.60443115234375,4600.64035583496,"BUY: MACD momentum MACD=0.320, Q=0.371",26282.463933654795
2025-05-30 00:00:00-04:00,NVDA,BUY,37,135.12062072753906,5004.4624298858635,"BUY: MACD momentum MACD=0.295, Q=0.443",21278.00150376893
2025-06-02 00:00:00-04:00,AAPL,BUY,24,201.47134399414062,4840.147568115234,"BUY: MACD momentum MACD=0.107, Q=0.539",16437.853935653697
2025-06-02 00:00:00-04:00,MSFT,BUY,8,461.2118225097656,3693.3842746582027,"BUY: MACD momentum MACD=0.613, Q=0.414",12744.469660995494
2025-06-02 00:00:00-04:00,NVDA,BUY,23,137.37046813964844,3162.6802879791258,"BUY: MACD momentum MACD=0.429, Q=0.470",9581.789373016367
2025-06-03 00:00:00-04:00,AAPL,BUY,11,203.03956604003906,2235.66866166687,"BUY: MACD momentum MACD=0.310, Q=0.434",7346.120711349497
2025-06-03 00:00:00-04:00,MSFT,BUY,3,462.2101745605469,1388.0171542053222,"BUY: MACD momentum MACD=0.915, Q=0.415",5958.103557144174
2025-06-03 00:00:00-04:00,GOOGL,BUY,8,165.97906494140625,1329.160352050781,"BUY: Strong ML signal ML=0.754, Q=0.489",4628.943205093394
2025-06-03 00:00:00-04:00,NVDA,BUY,8,141.21018981933594,1130.8112000732422,"BUY: MACD momentum MACD=0.835, Q=0.427",3498.1320050201516
2025-06-04 00:00:00-04:00,AAPL,BUY,4,202.590087890625,811.1707119140624,"BUY: MACD momentum MACD=0.430, Q=0.504",2686.961293106089
2025-06-04 00:00:00-04:00,MSFT,BUY,1,463.1086730957031,463.57178176879876,"BUY: MACD momentum MACD=1.213, Q=0.355",2223.3895113372905
2025-06-04 00:00:00-04:00,NVDA,BUY,3,141.91014099121094,426.1561533966064,"BUY: Strong ML signal ML=0.781, Q=0.387",1797.233357940684
2025-06-05 00:00:00-04:00,AAPL,BUY,2,200.40257263183594,401.2059504089355,"BUY: Strong ML signal ML=0.718, Q=0.363",1396.0274075317486
2025-06-05 00:00:00-04:00,NVDA,BUY,2,139.98028564453125,280.24053186035155,"BUY: MACD momentum MACD=1.318, Q=0.564",1115.786875671397
2025-06-06 00:00:00-04:00,AAPL,BUY,1,203.68882751464844,203.89251634216308,"BUY: MACD momentum MACD=0.535, Q=0.485",911.8943593292339
2025-06-06 00:00:00-04:00,NVDA,BUY,1,141.7101593017578,141.85186946105955,"BUY: MACD momentum MACD=1.533, Q=0.473",770.0424898681744
2025-06-09 00:00:00-04:00,NVDA,BUY,1,142.62010192871094,142.76272203063962,"BUY: MACD momentum MACD=1.757, Q=0.558",627.2797678375348
2025-06-10 00:00:00-04:00,NVDA,BUY,1,143.95001220703125,144.09396221923828,"BUY: MACD momentum MACD=2.019, Q=0.385",483.1858056182965
