date,symbol,action,shares,price,cost,reason,technical_reason,cash_after,total_position,avg_price,buy_price,sell_price,cost_basis,proceeds,pnl,pnl_pct,cumulative_pnl,running_total_pnl
2025-06-11 00:00:00-04:00,AAPL,BUY,25,198.55465698242188,4968.830290985107,Strong upward momentum detected. Algorithm confidence: 38%. Good entry point for potential gains.,BUY: Momentum entry Q=0.379 >= 0.35,45031.169709014895,25.0,198.55465698242188,,,,,,,,0.0
2025-06-11 00:00:00-04:00,MSFT,BUY,10,471.8443298339844,4723.161741638183,Strong upward momentum detected. Algorithm confidence: 40%. Good entry point for potential gains.,BUY: Momentum entry Q=0.398 >= 0.35,40308.00796737671,10.0,471.8443298339844,,,,,,,,0.0
2025-06-11 00:00:00-04:00,GOOGL,BUY,28,177.1915283203125,4966.324155761718,Strong upward momentum detected. Algorithm confidence: 47%. Good entry point for potential gains.,BUY: Momentum entry Q=0.473 >= 0.35,35341.68381161499,28.0,177.1915283203125,,,,,,,,0.0
2025-06-11 00:00:00-04:00,TSLA,BUY,15,326.42999267578125,4901.346340026855,Strong upward momentum detected. Algorithm confidence: 36%. Good entry point for potential gains.,BUY: Momentum entry Q=0.363 >= 0.35,30440.337471588133,15.0,326.42999267578125,,,,,,,,0.0
2025-06-11 00:00:00-04:00,NVDA,BUY,35,142.8300018310547,5004.049114151,Strong upward momentum detected. Algorithm confidence: 41%. Good entry point for potential gains.,BUY: Momentum entry Q=0.411 >= 0.35,25436.288357437134,35.0,142.8300018310547,,,,,,,,0.0
2025-06-12 00:00:00-04:00,AAPL,SELL,25,,,"AI model detects potential price peak. Taking profits ($5.51, 0.1%).","SELL: ML profit peak ML=0.641, P&L=$10.49",30405.668556106568,,,198.55465698242188,198.97418212890625,4963.866424560547,4969.380198669433,5.513774108886537,0.11107821277391995,5.513774108886537,5.513774108886537
2025-06-12 00:00:00-04:00,MSFT,SELL,10,,,"AI model detects potential price peak. Taking profits ($57.62, 1.2%).","SELL: ML profit peak ML=0.726, P&L=$62.40",35181.72847462464,,,471.8443298339844,478.0840759277344,4718.443298339844,4776.059918518066,57.61662017822255,1.2210938340298507,57.61662017822255,63.130394287109084
2025-06-12 00:00:00-04:00,GOOGL,SELL,28,,,"Algorithm confidence dropped. Exiting position to preserve capital ($-51.07, -1.0%).",SELL: Conviction lost Q=0.285 <= 0.3,40092.01725013733,,,177.1915283203125,175.54299926757812,4961.36279296875,4910.288775512695,-51.07401745605512,-1.0294352496946462,-51.07401745605512,12.056376831053967
2025-06-12 00:00:00-04:00,TSLA,SELL,15,,,"Stop loss triggered to limit losses. Protecting capital ($-114.59, -2.3%).",SELL: Stop loss 2.2% >= 2.0%,44873.88038063049,,,326.42999267578125,319.1099853515625,4896.449890136719,4781.863130493164,-114.58675964355461,-2.3402008029199934,-114.58675964355461,-102.53038281250065
2025-06-12 00:00:00-04:00,NVDA,SELL,35,,,"AI model detects potential price peak. Taking profits ($70.87, 1.4%).","SELL: ML profit peak ML=0.777, P&L=$75.95",49943.805380630496,,,142.8300018310547,145.0,4999.050064086914,5069.925,70.87493591308612,1.4177680760240907,70.87493591308612,-31.655446899414528
2025-06-13 00:00:00-04:00,AAPL,BUY,25,196.227294921875,4910.588055419921,Strong upward momentum detected. Algorithm confidence: 38%. Good entry point for potential gains.,BUY: Momentum entry Q=0.382 >= 0.35,45033.21732521057,25.0,196.227294921875,,,,,,,,-31.655446899414528
2025-06-13 00:00:00-04:00,MSFT,BUY,10,474.18048095703125,4746.546614379882,Strong upward momentum detected. Algorithm confidence: 66%. Good entry point for potential gains.,BUY: Momentum entry Q=0.655 >= 0.35,40286.67071083069,10.0,474.18048095703125,,,,,,,,-31.655446899414528
2025-06-13 00:00:00-04:00,GOOGL,BUY,28,174.513916015625,4891.276038085937,Strong upward momentum detected. Algorithm confidence: 46%. Good entry point for potential gains.,BUY: Momentum entry Q=0.465 >= 0.35,35395.39467274475,28.0,174.513916015625,,,,,,,,-31.655446899414528
2025-06-13 00:00:00-04:00,TSLA,BUY,15,325.30999755859375,4884.529613342284,Strong upward momentum detected. Algorithm confidence: 42%. Good entry point for potential gains.,BUY: Momentum entry Q=0.424 >= 0.35,30510.865059402462,15.0,325.30999755859375,,,,,,,,-31.655446899414528
2025-06-13 00:00:00-04:00,NVDA,BUY,35,141.97000122070312,4973.918992767333,Strong upward momentum detected. Algorithm confidence: 53%. Good entry point for potential gains.,BUY: Momentum entry Q=0.526 >= 0.35,25536.94606663513,35.0,141.97000122070312,,,,,,,,-31.655446899414528
2025-06-16 00:00:00-04:00,AAPL,SELL,25,,,"End of trading session - closing all positions ($44.24, 0.9%).",FORCED EXIT: Held for 72.0 hours (max: 48),30486.86789891052,,,196.227294921875,198.195068359375,4905.682373046875,4949.92183227539,44.23945922851544,0.90180031776168,49.75323333740198,12.584012329100915
2025-06-16 00:00:00-04:00,MSFT,SELL,10,,,"End of trading session - closing all positions ($36.95, 0.8%).",FORCED EXIT: Held for 72.0 hours (max: 48),35265.620739486694,,,474.18048095703125,478.3536376953125,4741.8048095703125,4778.752840576172,36.948031005859775,0.7791976365473359,94.56465118408232,49.53204333496069
2025-06-16 00:00:00-04:00,GOOGL,SELL,28,,,"End of trading session - closing all positions ($53.80, 1.1%).",FORCED EXIT: Held for 72.0 hours (max: 48),40205.81287028504,,,174.513916015625,176.61204528808594,4886.3896484375,4940.19213079834,53.80248236084026,1.1010681961894802,2.7284649047851417,103.33452569580095
2025-06-16 00:00:00-04:00,TSLA,SELL,15,,,"End of trading session - closing all positions ($52.36, 1.1%).",FORCED EXIT: Held for 72.0 hours (max: 48),45137.82599345398,,,325.30999755859375,329.1300048828125,4879.649963378906,4932.013123168946,52.36315979003939,1.0730925411252368,-62.223599853515225,155.69768548584034
2025-06-16 00:00:00-04:00,NVDA,SELL,35,,,"End of trading session - closing all positions ($90.14, 1.8%).",FORCED EXIT: Held for 72.0 hours (max: 48),50196.91192881775,,,141.97000122070312,144.69000244140625,4968.950042724609,5059.08593536377,90.13589263916037,1.813982669661465,161.0108285522465,245.8335781250007
2025-06-17 00:00:00-04:00,AAPL,BUY,25,195.418212890625,4890.34077758789,Strong upward momentum detected. Algorithm confidence: 36%. Good entry point for potential gains.,BUY: Momentum entry Q=0.360 >= 0.35,45306.571151229866,25.0,195.418212890625,,,,,,,,245.8335781250007
2025-06-17 00:00:00-04:00,MSFT,BUY,10,477.25543212890625,4777.326875610351,Strong upward momentum detected. Algorithm confidence: 65%. Good entry point for potential gains.,BUY: Momentum entry Q=0.646 >= 0.35,40529.244275619516,10.0,477.25543212890625,,,,,,,,245.8335781250007
2025-06-17 00:00:00-04:00,GOOGL,BUY,28,175.7927703857422,4927.119768371582,Strong upward momentum detected. Algorithm confidence: 40%. Good entry point for potential gains.,BUY: Momentum entry Q=0.396 >= 0.35,35602.124507247936,28.0,175.7927703857422,,,,,,,,245.8335781250007
2025-06-17 00:00:00-04:00,TSLA,BUY,15,316.3500061035156,4749.995341644287,Strong upward momentum detected. Algorithm confidence: 41%. Good entry point for potential gains.,BUY: Momentum entry Q=0.414 >= 0.35,30852.12916560365,15.0,316.3500061035156,,,,,,,,245.8335781250007
2025-06-17 00:00:00-04:00,NVDA,BUY,34,144.1199951171875,4904.979913818359,Strong upward momentum detected. Algorithm confidence: 66%. Good entry point for potential gains.,BUY: Momentum entry Q=0.661 >= 0.35,25947.14925178529,34.0,144.1199951171875,,,,,,,,245.8335781250007
2025-06-18 00:00:00-04:00,AAPL,SELL,25,,,"AI model detects potential price peak. Taking profits ($18.56, 0.4%).","SELL: ML profit peak ML=0.429, P&L=$23.47",30851.169003524792,,,195.418212890625,196.35714721679688,4885.455322265625,4904.019751739502,18.56442947387677,0.37999384395695457,68.31766281127875,264.3980075988775
2025-06-18 00:00:00-04:00,MSFT,SELL,10,,,"AI model detects potential price peak. Taking profits ($17.17, 0.4%).","SELL: ML profit peak ML=0.591, P&L=$21.96",35640.892612838754,,,477.25543212890625,479.4518127441406,4772.5543212890625,4789.7236093139645,17.169288024902016,0.3597504998175612,111.73393920898434,281.5672956237795
2025-06-18 00:00:00-04:00,TSLA,SELL,15,,,"AI model detects potential price peak. Taking profits ($80.67, 1.7%).","SELL: ML profit peak ML=0.519, P&L=$85.50",40466.81167991639,,,316.3500061035156,322.04998779296875,4745.250091552734,4825.919067077637,80.66897552490263,1.6999941829937617,18.44537567138741,362.23627114868214
2025-06-18 00:00:00-04:00,NVDA,SELL,34,,,"AI model detects potential price peak. Taking profits ($41.29, 0.8%).","SELL: ML profit peak ML=0.450, P&L=$46.24",45408.18521479798,,,144.1199951171875,145.47999572753906,4900.079833984375,4941.373534881592,41.293700897216695,0.842714859680965,202.3045294494632,403.52997204589883
