date,cash,portfolio_value,positions
2024-10-01 00:00:00-04:00,25626.024076705933,74349.62629699707,5
2024-10-02 00:00:00-04:00,45248.31351130677,30180.263090377808,1
2024-10-03 00:00:00-04:00,35109.08627702332,59916.12286799622,3
2024-10-04 00:00:00-04:00,40102.60047914124,45054.397739425665,2
2024-10-07 00:00:00-04:00,35172.87514516449,54753.72040559388,3
2024-10-08 00:00:00-04:00,45258.64924506379,40082.62306996918,1
2024-10-09 00:00:00-04:00,30570.676676872266,64756.76888922883,4
2024-10-10 00:00:00-04:00,45271.079006324784,35358.235118034376,1
2024-10-11 00:00:00-04:00,30390.7611940384,64883.4418450699,4
2024-10-14 00:00:00-04:00,45379.48678699495,35225.56034259797,1
2024-10-15 00:00:00-04:00,30483.308507240316,65139.11789051058,4
2024-10-16 00:00:00-04:00,45528.425081108115,35328.140462196374,1
2024-10-17 00:00:00-04:00,35610.08502219393,60279.72723564913,3
2024-10-18 00:00:00-04:00,35744.51542928317,50258.69853232577,3
2024-10-21 00:00:00-04:00,40505.32020598605,45617.443102623016,2
2024-10-22 00:00:00-04:00,35795.61516341403,55163.22349578097,3
2024-10-23 00:00:00-04:00,35942.607703193695,50015.18694075778,3
2024-10-24 00:00:00-04:00,41518.93539255527,45622.314383491546,2
2024-10-25 00:00:00-04:00,36795.383153373754,55991.66999643711,3
2024-10-28 00:00:00-04:00,41212.66237967685,46653.71741240696,2
2024-10-29 00:00:00-04:00,36550.97285820773,55802.19778006747,3
2024-10-30 00:00:00-04:00,31585.805452415494,55993.34765984347,4
2024-10-31 00:00:00-04:00,36124.38848986056,45917.84684951022,3
2024-11-01 00:00:00-04:00,40569.567552558925,45977.26593126681,2
2024-11-04 00:00:00-05:00,35685.6726524277,55182.56826972201,3
2024-11-05 00:00:00-05:00,40682.924878303544,45358.75489730074,2
2024-11-06 00:00:00-05:00,41775.44885463716,50147.60511511995,2
2024-11-07 00:00:00-05:00,41611.55474085237,51546.18101711274,2
2024-11-08 00:00:00-05:00,31979.597083992023,60889.285774177566,4
2024-11-11 00:00:00-05:00,46629.0897528763,36827.66675562288,1
2024-11-12 00:00:00-05:00,37053.531089454686,61067.53717108919,3
2024-11-13 00:00:00-05:00,36708.192114387544,51801.098304420506,3
2024-11-14 00:00:00-05:00,36894.071817527816,51242.5258851395,3
2024-11-15 00:00:00-05:00,41440.07274285131,46794.71741689305,2
2024-11-18 00:00:00-05:00,36737.251587486324,56021.22465935522,3
2024-11-19 00:00:00-05:00,41724.164717048705,46511.36244258886,2
2024-11-20 00:00:00-05:00,31853.76651941687,61326.23432764441,4
2024-11-21 00:00:00-05:00,41638.48285042578,41390.671472419795,2
2024-11-22 00:00:00-05:00,36495.04912894446,56503.339906089845,3
2024-11-25 00:00:00-05:00,41622.47672313696,46108.28031485755,2
2024-11-26 00:00:00-05:00,32028.770351631225,60850.79018444067,4
2024-11-27 00:00:00-05:00,36644.81153696448,46443.4284479447,3
2024-11-29 00:00:00-05:00,41485.00692345435,46355.08956735999,2
2024-12-02 00:00:00-05:00,36931.95928510291,55964.258937614504,3
2024-12-03 00:00:00-05:00,41641.877159980846,46798.882991157596,2
2024-12-04 00:00:00-05:00,37100.860262245245,56203.83406916053,3
2024-12-05 00:00:00-05:00,36979.25641518409,51820.052324623175,3
2024-12-06 00:00:00-05:00,51910.692890602186,36979.25641518409,0
2024-12-09 00:00:00-05:00,27521.14038639077,76275.88020749672,5
2024-12-10 00:00:00-05:00,47280.75875473794,32371.12021427163,1
2024-12-11 00:00:00-05:00,37516.53989882668,61937.30897141274,3
2024-12-12 00:00:00-05:00,42506.44197737894,47033.77561660012,2
2024-12-13 00:00:00-05:00,37378.768299919226,57311.01894271097,3
2024-12-16 00:00:00-05:00,47555.70589966593,42008.968190055944,1
2024-12-17 00:00:00-05:00,32735.44431642924,67150.1742681962,4
2024-12-18 00:00:00-05:00,46943.85810683452,37576.874370140176,1
2024-12-19 00:00:00-05:00,32107.763942741512,66553.41499160015,4
2024-12-20 00:00:00-05:00,42606.37977773297,41515.7784691087,2
2024-12-23 00:00:00-05:00,37509.92459021771,57176.95233327496,3
2024-12-24 00:00:00-05:00,47366.38894063581,42316.144774543885,1
2024-12-26 00:00:00-05:00,32464.529587333807,67036.65883809674,4
2024-12-27 00:00:00-05:00,37283.1634291612,46816.850205009585,3
2024-12-30 00:00:00-05:00,46860.77962809004,41874.6734694444,1
