date,value,cash,positions,returns,cummax,drawdown
2024-01-02 00:00:00-05:00,10000.0,10000.0,0,,10000.0,0.0
2024-01-03 00:00:00-05:00,10000.0,10000.0,0,0.0,10000.0,0.0
2024-01-04 00:00:00-05:00,10000.0,10000.0,0,0.0,10000.0,0.0
2024-01-05 00:00:00-05:00,10000.0,10000.0,0,0.0,10000.0,0.0
2024-01-08 00:00:00-05:00,10000.0,10000.0,0,0.0,10000.0,0.0
2024-01-09 00:00:00-05:00,10000.0,10000.0,0,0.0,10000.0,0.0
2024-01-10 00:00:00-05:00,10000.0,10000.0,0,0.0,10000.0,0.0
2024-01-11 00:00:00-05:00,10000.0,10000.0,0,0.0,10000.0,0.0
2024-01-12 00:00:00-05:00,10000.0,10000.0,0,0.0,10000.0,0.0
2024-01-16 00:00:00-05:00,10000.0,10000.0,0,0.0,10000.0,0.0
2024-01-17 00:00:00-05:00,10000.0,10000.0,0,0.0,10000.0,0.0
2024-01-18 00:00:00-05:00,10000.0,10000.0,0,0.0,10000.0,0.0
2024-01-19 00:00:00-05:00,10000.0,10000.0,0,0.0,10000.0,0.0
2024-01-22 00:00:00-05:00,10000.0,10000.0,0,0.0,10000.0,0.0
2024-01-23 00:00:00-05:00,10000.0,10000.0,0,0.0,10000.0,0.0
2024-01-24 00:00:00-05:00,10000.0,10000.0,0,0.0,10000.0,0.0
2024-01-25 00:00:00-05:00,10000.0,10000.0,0,0.0,10000.0,0.0
2024-01-26 00:00:00-05:00,10000.0,10000.0,0,0.0,10000.0,0.0
2024-01-29 00:00:00-05:00,10000.0,10000.0,0,0.0,10000.0,0.0
2024-01-30 00:00:00-05:00,12667.974334716797,7332.025665283203,3,0.2667974334716796,12667.974334716797,0.0
2024-01-31 00:00:00-05:00,7332.025665283203,9889.009323120117,0,-0.42121562046509176,12667.974334716797,-0.42121562046509176
2024-02-01 00:00:00-05:00,11630.494812011719,8147.523834228516,2,0.5862594244700432,12667.974334716797,-0.08189782322670547
2024-02-02 00:00:00-05:00,8147.523834228516,9898.9482421875,0,-0.29946885614755336,12667.974334716797,-0.35684083193158284
2024-02-05 00:00:00-05:00,11774.464614868164,8023.431869506836,2,0.4451586585610867,12667.974334716797,-0.07053295943298167
2024-02-06 00:00:00-05:00,8023.431869506836,9903.629104614258,0,-0.31857352907789327,12667.974334716797,-0.36663655470800205
2024-02-07 00:00:00-05:00,10841.529113769531,8965.729095458984,1,0.35123339863742253,12667.974334716797,-0.14417815924538635
2024-02-08 00:00:00-05:00,8965.729095458984,9913.529083251953,0,-0.17301987557531384,12667.974334716797,-0.29225234764738567
2024-02-09 00:00:00-05:00,9913.529083251953,9913.529083251953,0,0.10571365448382952,12667.974334716797,-0.21743375686483987
2024-02-12 00:00:00-05:00,12722.063507080078,7104.994659423828,3,0.2833031910475654,12722.063507080078,0.0
2024-02-13 00:00:00-05:00,7104.994659423828,9880.945037841797,0,-0.4415218368097472,12722.063507080078,-0.44152183680974716
2024-02-14 00:00:00-05:00,10795.130142211914,8966.75993347168,1,0.5193720276613598,12722.063507080078,-0.15146390078903377
2024-02-15 00:00:00-05:00,8966.75993347168,9879.50537109375,0,-0.16936990889908832,12722.063507080078,-0.2951803826099829
2024-02-16 00:00:00-05:00,11762.332107543945,7996.678634643555,2,0.3117706055268392,12722.063507080078,-0.07543834370910218
2024-02-20 00:00:00-05:00,8968.574096679688,8908.0615234375,1,-0.2375173550041526,12722.063507080078,-0.29503778284957466
2024-02-21 00:00:00-05:00,8908.0615234375,9852.249435424805,0,-0.006747178825738942,12722.063507080078,-0.29979428899407795
2024-02-22 00:00:00-05:00,10794.286239624023,8910.212631225586,1,0.21174356634423597,12722.063507080078,-0.15153023457108267
2024-02-23 00:00:00-05:00,8910.212631225586,9855.59587097168,0,-0.17454360265918445,12722.063507080078,-0.299625204176439
2024-02-26 00:00:00-05:00,11712.186752319336,7999.004989624023,2,0.3144677054366034,12722.063507080078,-0.07937994918817423
2024-02-27 00:00:00-05:00,8905.644317626953,8965.369323730469,1,-0.23962582684541045,12722.063507080078,-0.29998429007442173
2024-02-28 00:00:00-05:00,10814.970520019531,8016.400527954102,2,0.21439506612828074,12722.063507080078,-0.14990437565409198
2024-02-29 00:00:00-05:00,8834.562942504883,9058.986373901367,1,-0.18311724233077908,12722.063507080078,-0.30557154210177656
2024-03-01 00:00:00-05:00,10905.138702392578,8034.6754150390625,2,0.23437217815560896,12722.063507080078,-0.14281683185092933
2024-03-04 00:00:00-05:00,8034.6754150390625,9831.818313598633,0,-0.26322116258124606,12722.063507080078,-0.36844558191620347
2024-03-05 00:00:00-05:00,13299.631774902344,6364.004852294922,4,0.6552792848368827,13299.631774902344,0.0
2024-03-06 00:00:00-05:00,7159.321868896484,9000.592025756836,1,-0.4616902189422418,13299.631774902344,-0.4616902189422418
2024-03-07 00:00:00-05:00,11542.07894897461,7268.366760253906,3,0.6121748903508468,13299.631774902344,-0.13215048774842036
2024-03-08 00:00:00-05:00,9034.277755737305,8030.20539855957,2,-0.21727465254083156,13299.631774902344,-0.3207121889806125
2024-03-11 00:00:00-04:00,9687.920303344727,8115.752395629883,2,0.07235138937280516,13299.631774902344,-0.2715647720693483
2024-03-12 00:00:00-04:00,9003.452362060547,8909.432968139648,1,-0.07065168992439674,13299.631774902344,-0.323029951923112
2024-03-13 00:00:00-04:00,9758.982299804688,8907.283615112305,1,0.0839155811972585,13299.631774902344,-0.2662216168856039
2024-03-14 00:00:00-04:00,11719.079071044922,6954.320709228516,3,0.20085053041642098,13299.631774902344,-0.11884183942897378
