date,cash,portfolio_value,positions
2025-06-27 00:00:00-04:00,40039.94925238037,59950.100646972656,2
2025-06-30 00:00:00-04:00,25243.04257032776,64722.45027471924,4
2025-07-01 00:00:00-04:00,20256.034665542604,54707.76295301819,4
2025-07-02 00:00:00-04:00,15370.573106170657,55004.52647157288,4
2025-07-03 00:00:00-04:00,11527.190961029057,54281.78407418824,4
2025-07-07 00:00:00-04:00,8798.208830520634,52711.43670382691,4
2025-07-08 00:00:00-04:00,6716.128830520634,52033.124022171025,4
2025-07-09 00:00:00-04:00,3253.7179895935114,53852.70019587708,4
2025-07-10 00:00:00-04:00,1622.6239101104795,52202.43969979859,4
2025-07-11 00:00:00-04:00,1411.4923657074035,50800.09539143372,4
2025-07-14 00:00:00-04:00,856.9248481750548,50842.703425277716,4
2025-07-15 00:00:00-04:00,647.8430198974669,50987.88081130982,4
2025-07-16 00:00:00-04:00,647.8430198974669,50959.129839355475,4
2025-07-17 00:00:00-04:00,647.8430198974669,51188.368608886725,4
2025-07-18 00:00:00-04:00,647.8430198974669,51294.78834765626,4
2025-07-21 00:00:00-04:00,647.8430198974669,51534.888323242194,4
2025-07-22 00:00:00-04:00,647.8430198974669,51446.509218627936,4
2025-07-23 00:00:00-04:00,647.8430198974669,51601.87846606446,4
2025-07-24 00:00:00-04:00,647.8430198974669,51888.22056811524,4
2025-07-25 00:00:00-04:00,647.8430198974669,51983.31991809083,4
2025-07-28 00:00:00-04:00,647.8430198974669,52133.16333239747,4
2025-07-29 00:00:00-04:00,647.8430198974669,51840.401964599616,4
2025-07-30 00:00:00-04:00,647.8430198974669,51826.43619006348,4
2025-07-31 00:00:00-04:00,647.8430198974669,51911.774218017585,4
2025-08-01 00:00:00-04:00,647.8430198974669,50795.556749755866,4
2025-08-04 00:00:00-04:00,647.8430198974669,51682.24563830567,4
2025-08-05 00:00:00-04:00,647.8430198974669,51346.98623889161,4
2025-08-06 00:00:00-04:00,647.8430198974669,52572.88743823243,4
2025-08-07 00:00:00-04:00,647.8430198974669,53342.92843859864,4
2025-08-08 00:00:00-04:00,647.8430198974669,54687.38836901856,4
2025-08-11 00:00:00-04:00,647.8430198974669,54414.79706042481,4
2025-08-12 00:00:00-04:00,647.8430198974669,54997.634584838874,4
2025-08-13 00:00:00-04:00,647.8430198974669,55097.18310778809,4
2025-08-14 00:00:00-04:00,647.8430198974669,55129.200624877936,4
2025-08-15 00:00:00-04:00,647.8430198974669,54882.36679309083,4
2025-08-18 00:00:00-04:00,647.8430198974669,54804.01213305665,4
2025-08-19 00:00:00-04:00,647.8430198974669,54197.79995959473,4
2025-08-20 00:00:00-04:00,647.8430198974669,53503.34260791016,4
2025-08-21 00:00:00-04:00,647.8430198974669,53350.531862670905,4
2025-08-22 00:00:00-04:00,647.8430198974669,54094.602831298835,4
2025-08-25 00:00:00-04:00,647.8430198974669,54125.17369311524,4
