date,symbol,action,shares,price,cost,reason,cash_after
2025-06-02 00:00:00-04:00,GOOGL,BUY,29,168.82562255859375,4900.838997253418,BUY: Momentum entry Q=0.516 >= 0.4,95099.16100274658
2025-06-02 00:00:00-04:00,AAPL,BUY,24,201.47134399414062,4840.147568115234,BUY: Momentum entry Q=0.403 >= 0.4,90259.01343463134
2025-06-02 00:00:00-04:00,NVDA,BUY,36,137.37046813964844,4950.28218988037,BUY: Momentum entry Q=0.456 >= 0.4,85308.73124475098
2025-06-02 00:00:00-04:00,TSLA,BUY,14,342.69000244140625,4802.4576942138665,BUY: Momentum entry Q=0.457 >= 0.4,80506.27355053711
2025-06-03 00:00:00-04:00,META,BUY,7,666.3372802734375,4669.025322875976,BUY: Momentum entry Q=0.409 >= 0.4,75837.24822766113
2025-06-03 00:00:00-04:00,AAPL,BUY,24,203.03956604003906,4877.822534545898,"BUY: MACD momentum MACD=0.125, Q=0.391",70959.42569311523
2025-06-03 00:00:00-04:00,NVDA,BUY,35,141.21018981933594,4947.299000320434,BUY: Momentum entry Q=0.528 >= 0.4,66012.1266927948
2025-06-03 00:00:00-04:00,TSLA,BUY,14,344.2699890136719,4824.599626037597,BUY: Momentum entry Q=0.469 >= 0.4,61187.527066757204
2025-06-03 00:00:00-04:00,TSM,BUY,25,196.89007568359375,4927.174143981933,BUY: Momentum entry Q=0.597 >= 0.4,56260.35292277527
2025-06-03 00:00:00-04:00,SPY,BUY,8,594.3330078125,4759.4187265625,BUY: Momentum entry Q=0.526 >= 0.4,51500.93419621277
2025-06-04 00:00:00-04:00,META,BUY,7,687.4210815429688,4816.759518371581,"BUY: Strong ML signal ML=0.682, Q=0.391",46684.17467784119
2025-06-04 00:00:00-04:00,AAPL,BUY,24,202.590087890625,4867.024271484374,BUY: Momentum entry Q=0.509 >= 0.4,41817.15040635681
2025-06-04 00:00:00-04:00,NVDA,BUY,35,141.91014099121094,4971.821789627074,BUY: Momentum entry Q=0.444 >= 0.4,36845.32861672974
2025-06-04 00:00:00-04:00,TSM,BUY,24,201.66261291503906,4844.742612670898,BUY: Momentum entry Q=0.454 >= 0.4,32000.586004058845
2025-06-04 00:00:00-04:00,SPY,BUY,8,594.1734619140625,4758.141083007812,BUY: Momentum entry Q=0.475 >= 0.4,27242.444921051032
2025-06-05 00:00:00-04:00,META,BUY,7,684.0936279296875,4793.44405090332,BUY: Momentum entry Q=0.434 >= 0.4,22449.000870147713
2025-06-05 00:00:00-04:00,AAPL,BUY,24,200.40257263183594,4814.471404907226,BUY: Momentum entry Q=0.531 >= 0.4,17634.529465240485
2025-06-05 00:00:00-04:00,NVDA,BUY,31,139.98028564453125,4343.728243835449,BUY: Momentum entry Q=0.401 >= 0.4,13290.801221405036
2025-06-05 00:00:00-04:00,TSM,BUY,16,202.5991973876953,3244.828745361328,BUY: Momentum entry Q=0.466 >= 0.4,10045.972476043708
2025-06-05 00:00:00-04:00,SPY,BUY,4,591.3019409179688,2367.5729714355466,BUY: Momentum entry Q=0.454 >= 0.4,7678.399504608161
2025-06-06 00:00:00-04:00,GOOGL,BUY,11,173.46998596191406,1910.0780154266356,BUY: Momentum entry Q=0.493 >= 0.4,5768.321489181525
2025-06-06 00:00:00-04:00,META,BUY,2,697.173583984375,1395.7415151367186,BUY: Momentum entry Q=0.499 >= 0.4,4372.5799740448065
2025-06-06 00:00:00-04:00,AAPL,BUY,5,203.68882751464844,1019.4625817108154,BUY: Momentum entry Q=0.465 >= 0.4,3353.117392333991
2025-06-06 00:00:00-04:00,NVDA,BUY,5,141.7101593017578,709.2593473052978,BUY: Momentum entry Q=0.433 >= 0.4,2643.8580450286936
2025-06-06 00:00:00-04:00,TSM,BUY,3,204.4324951171875,613.910782836914,BUY: Momentum entry Q=0.402 >= 0.4,2029.9472621917796
2025-06-09 00:00:00-04:00,GOOGL,BUY,2,176.08999633789062,352.532172668457,"BUY: MACD momentum MACD=0.724, Q=0.367",1677.4150895233226
2025-06-09 00:00:00-04:00,AAPL,BUY,2,201.2216339111328,402.84571109008783,"BUY: MACD momentum MACD=0.144, Q=0.370",1274.5693784332348
2025-06-09 00:00:00-04:00,NVDA,BUY,2,142.62010192871094,285.52544406127925,BUY: Momentum entry Q=0.451 >= 0.4,989.0439343719555
2025-06-09 00:00:00-04:00,TSM,BUY,1,206.24586486816406,206.4521107330322,BUY: Momentum entry Q=0.495 >= 0.4,782.5918236389233
2025-06-10 00:00:00-04:00,GOOGL,BUY,1,178.60000610351562,178.77860610961912,BUY: Momentum entry Q=0.445 >= 0.4,603.8132175293042
2025-06-10 00:00:00-04:00,NVDA,BUY,1,143.95001220703125,144.09396221923828,BUY: Momentum entry Q=0.476 >= 0.4,459.71925531006593
