date,cash,portfolio_value,positions
2024-01-02 00:00:00-05:00,5772.189147720338,14223.587265014648,2
2024-01-03 00:00:00-05:00,4491.988137008668,11255.447509536745,2
2024-01-04 00:00:00-05:00,3408.608873489381,10998.007485153199,2
2024-01-05 00:00:00-05:00,3408.608873489381,9894.869768264773,2
2024-01-08 00:00:00-05:00,3408.608873489381,10042.047685745241,2
2024-01-09 00:00:00-05:00,2302.1984230804455,11141.953996780398,2
2024-01-10 00:00:00-05:00,1923.9679092865003,10485.974271469117,2
2024-01-11 00:00:00-05:00,1543.899438766481,10482.435347030641,2
2024-01-12 00:00:00-05:00,1160.0364670867934,10525.989709762574,2
2024-01-16 00:00:00-05:00,1160.0364670867934,10089.994505416871,2
2024-01-17 00:00:00-05:00,1160.0364670867934,10054.626402389527,2
2024-01-18 00:00:00-05:00,1160.0364670867934,10270.718870651246,2
2024-01-19 00:00:00-05:00,969.8947178039566,10590.477797042848,2
2024-01-22 00:00:00-05:00,777.4402332916275,10645.031619659425,2
2024-01-23 00:00:00-05:00,583.7052795257583,10708.285905899049,2
2024-01-24 00:00:00-05:00,583.7052795257583,10524.816073593141,2
2024-01-25 00:00:00-05:00,583.7052795257583,10534.540667709352,2
2024-01-26 00:00:00-05:00,583.7052795257583,10468.923815902712,2
2024-01-29 00:00:00-05:00,583.7052795257583,10497.785540756227,2
2024-01-30 00:00:00-05:00,583.7052795257583,10366.998843368532,2
