date,cash,portfolio_value,positions
2025-06-11 00:00:00-04:00,25436.288357437134,74539.17247009277,5
2025-06-12 00:00:00-04:00,49943.805380630496,25436.288357437134,0
2025-06-13 00:00:00-04:00,35338.810160140994,64534.210196304324,3
2025-06-16 00:00:00-04:00,40198.748068222056,45238.824137191776,2
2025-06-17 00:00:00-04:00,35397.01114573671,54793.579794296274,3
2025-06-18 00:00:00-04:00,49971.8833235016,35397.01114573671,0
2025-06-20 00:00:00-04:00,30482.083892837534,69442.21242506409,4
2025-06-23 00:00:00-04:00,45111.73993052673,35363.60379029847,1
2025-06-24 00:00:00-04:00,30279.843306381226,64685.8758558197,4
2025-06-25 00:00:00-04:00,45296.35692549134,35193.09312327576,1
2025-06-26 00:00:00-04:00,25676.47166737367,69783.34188032532,5
2025-06-27 00:00:00-04:00,45374.02679487611,30627.732348526013,1
2025-06-30 00:00:00-04:00,30804.367595397965,64885.145523513806,4
2025-07-01 00:00:00-04:00,45031.96272123721,35716.79191180422,1
2025-07-02 00:00:00-04:00,25524.94416909793,69422.33401335147,5
2025-07-03 00:00:00-04:00,45353.27900000003,30255.194260650664,1
2025-07-07 00:00:00-04:00,39833.32730340579,55268.00690527347,2
2025-07-08 00:00:00-04:00,30234.023309951815,59258.80830621341,4
2025-07-09 00:00:00-04:00,44875.75662435917,35120.42345643619,1
2025-07-10 00:00:00-04:00,34972.299800338784,59682.48390402226,3
2025-07-11 00:00:00-04:00,40386.02231651311,44442.345363082924,2
2025-07-14 00:00:00-04:00,35359.92681205754,54830.081978378345,3
2025-07-15 00:00:00-04:00,40216.23475970464,44855.135262374926,2
2025-07-16 00:00:00-04:00,35518.09076762395,54412.59707965093,3
2025-07-17 00:00:00-04:00,39940.41071678167,45295.305733444264,2
2025-07-18 00:00:00-04:00,35232.271900878965,54467.96674705511,3
2025-07-21 00:00:00-04:00,39868.664514633245,45051.95505212408,2
2025-07-22 00:00:00-04:00,35374.92112074287,54234.15087327582,3
2025-07-23 00:00:00-04:00,39975.52457981879,45236.34766493232,2
2025-07-24 00:00:00-04:00,30608.254132247992,59226.32475071723,4
2025-07-25 00:00:00-04:00,45203.226206024236,35433.438382125925,1
2025-07-28 00:00:00-04:00,35243.444245025705,59953.64538021857,3
2025-07-29 00:00:00-04:00,30648.37920675666,54410.08165042121,4
2025-07-30 00:00:00-04:00,44892.87805462653,35488.669322113106,1
2025-07-31 00:00:00-04:00,34973.891292785716,59594.85022259528,3
2025-08-01 00:00:00-04:00,34870.9686703492,49460.28564093025,3
2025-08-04 00:00:00-04:00,39942.55505154426,44693.99662445076,2
2025-08-05 00:00:00-04:00,35126.59861994942,54538.19074795539,3
2025-08-06 00:00:00-04:00,35330.768289764485,49541.144960891805,3
2025-08-07 00:00:00-04:00,40085.87999072274,45120.168176849445,2
2025-08-08 00:00:00-04:00,35579.08065657052,54532.16919055184,3
2025-08-11 00:00:00-04:00,40363.944723556604,45314.38992170724,2
2025-08-12 00:00:00-04:00,35811.140612228475,54713.697134445276,3
2025-08-13 00:00:00-04:00,35697.35494454964,50234.31032048043,3
2025-08-14 00:00:00-04:00,40562.14354313668,45283.85473092659,2
2025-08-15 00:00:00-04:00,26112.484915802088,64488.59683598336,5
2025-08-18 00:00:00-04:00,50069.60110855111,26112.484915802088,0
2025-08-19 00:00:00-04:00,25932.400557708832,74182.68857193002,5
2025-08-20 00:00:00-04:00,25932.400557708832,49771.725707244965,5
2025-08-21 00:00:00-04:00,49660.514201232996,25932.400557708832,0
2025-08-22 00:00:00-04:00,30390.593029022297,68911.18470294197,4
2025-08-25 00:00:00-04:00,44793.35952084359,35388.1131095887,1
2025-08-26 00:00:00-04:00,35469.254736557086,59142.88990109261,3
2025-08-27 00:00:00-04:00,30200.17844485482,55082.21517051705,4
2025-08-28 00:00:00-04:00,45256.05588175973,34786.93857669076,1
2025-08-29 00:00:00-04:00,30473.673204300016,64574.76965739449,4
2025-09-02 00:00:00-04:00,44977.679654113854,35019.7531603547,1
2025-09-03 00:00:00-04:00,30267.875909240807,64211.85113238534,4
2025-09-04 00:00:00-04:00,45059.288004196256,34839.605920227135,1
2025-09-05 00:00:00-04:00,30010.62297299203,64539.01830509958,4
2025-09-08 00:00:00-04:00,44407.26762141427,34992.62309506234,1
